strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits	assembly
361J6	Klebsiella pneumoniae	strong	62	280362	548711	5435872	no	-	ST4719	1	2	2	2	ybt 4; plasmid	375-1LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Very high	99.91%		O1/O2v1	O2a	none	Very high	98.66%		-	-	fosA7*	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-48	SHV-28.v1*	-	-	-	-	-	-	ST4719	2	3	1	1	1	7	25	18	20	27	18	13	41	71*	9	8	26	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	361J6
363B4	Klebsiella pneumoniae	strong	1327	4962	39814	4846003	no	total_size,N50	ST1537-1LV	0	3	2	1	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	?-	Good	98.24%	KL64_18_manC,KL64_19_manB,KL64_20_rmlB	O1/O2v1	O2a	none	Very high	98.65%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-48	-	-	-	PmrB-27%	-	-	SHV-100*?-37%;fosA7.5*?-0%	ST1537-1LV	2	1	-	1	12	1	46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	363B4
363I3	Klebsiella pneumoniae	strong	127	166983	304951	5811952	no	-	ST1880	1	2	10	13	ybt 9; ICEKp3	173-2LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Very high	99.99%		O1/O2v1	O2a	none	Very high	98.64%		aac(3)-IIa.v1	-	-	qnrS1	-	mphA	catB3.v2	arr-3	-	tet(A).v1*	-	dfrA15.v2	OXA-1;OXA-9.v1;SCO-1	-	CTX-M-15	-	NDM-1;OXA-232*	SHV-11.v1^	35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	aadA?-86%	aac(6')-Ib-cr.v1*?-0%;sul1?-0%	ST1880	3	4	6	1	7	85	38	5	11	6	5	1	293	318	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	363I3
368J3	Klebsiella pneumoniae	strong	68	231450	380887	5594735	no	-	ST2096	1	3	9	10	ybt 14; ICEKp5	140-2LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;sat-2	-	-	-	-	-	CatB4.v1?	-	-	tet(D)	-	dfrA1.v1;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	MgrB-60%	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1*	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	368J3
369D5	Klebsiella pneumoniae	strong	110	138340	278471	5675664	no	-	ST395	1	2	10	12	ybt 16; ICEKp12	280	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aadA2^;rmtB	-	-	-	-	ermB.v1*;mphA?	catA1^	-	sul1	tet(A).v1	-	dfrA12	TEM-1D.v1^	-	CTX-M-15	-	NDM-5;OXA-232?	SHV-11.v1	35Q	OmpK35-32%	-	GyrA-83I;ParC-80I	-	-	ST395	3	1	2	4	1	1	4	6	15	5	4	11	125	129	2	11	51	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	369D5
412H6	Klebsiella pneumoniae	strong	44	346732	907078	5225588	no	-	ST4731	0	2	1	1	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Very high	99.84%		O1/O2v1	O2a	none	Very high	98.64%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-48	SHV-27	156D	-	-	-	-	-	ST4731	4	5	1	1	16	1	31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	412H6
591661_assembly	Klebsiella pneumoniae	strong	115	309670	728678	5935527	no	-	ST147	4	3	11	17	ybt 9; ICEKp3	173-2LV	-	0	iuc 1	63	-	0	rmp 1; KpVP-1	147	rmpA2_6*-47%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O2a	-	High	98.62%	O1/O2v1_06_wbbO	aadA*;aph(3')-VI;aph3-Ia.v1^;armA	-	-	qnrS1	-	mphA?;mphE.v2;msrE	catB3.v2	arr-3	sul1;sul2	-	-	dfrA5	OXA-1;OXA-9.v1	-	CTX-M-15	-	NDM-9	SHV-11.v1^	35Q	OmpK35-25%	MgrB-4%	GyrA-83I;ParC-80I	TEM-150*?-0%	aac(6')-Ib-Suzhou?-0%;aac(6')-Ib-cr.v2?-0%	ST147	3	4	6	1	7	4	38	5	11	6	5	1	293	318	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	15	1	1	1	-	-	-	-	27	2	2	-	591661_assembly
591662_assembly	Klebsiella pneumoniae	strong	109	309670	728678	5845182	no	-	ST147	4	2	10	16	ybt 9; ICEKp3	173-2LV	-	0	iuc 1	63	-	0	rmp 1; KpVP-1	147	rmpA2_6*-47%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O2a	none	Very high	98.64%		aadA*;aph(3')-VI;armA	-	-	qnrS1	-	mphA?;mphE.v2;msrE	catB3.v2	arr-3	sul1;sul2	-	-	dfrA5	OXA-1;OXA-9.v1	-	CTX-M-15	-	NDM-1	SHV-11.v1^	35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	TEM-150*?-0%	aac(6')-Ib-Suzhou?-0%;aac(6')-Ib-cr.v2?-0%	ST147	3	4	6	1	7	4	38	5	11	6	5	1	293	318	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	15	1	1	1	-	-	-	-	27	2	2	-	591662_assembly
591663_assembly	Klebsiella pneumoniae	strong	194	285075	610835	5626070	no	-	ST13	1	2	8	14	ybt 10; ICEKp4	107	-	0	-	0	-	0	-	0	-	-	KL57	K57	?-*	Good	97.36%	KL57_13_vanT	O1/O2v2	O1	none	Very high	98.43%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;strA.v1*;strB.v1*	-	-	qnrS1	-	mphA	-	-	sul1;sul2	-	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1^	-	-	-	-	CatB4.v1?-81%	-	ST13	2	3	1	1	10	1	19	3	3	4	3	3	7	7	3	3	3	32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	591663_assembly
591665_assembly	Klebsiella pneumoniae	strong	198	237035	523733	5657940	no	-	ST512	0	3	9	8	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	100.00%		O1/O2v2	O2afg	none	Very high	98.37%		aac(6')-Ib'.v1;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	KPC-3	SHV-11.v1	35Q	OmpK35-25%;OmpK36GD	MgrB-79%	GyrA-83I;ParC-80I	OXA-9.v1*-42%	aadA2?-0%	ST512	54	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	591665_assembly
ATCC43816	Klebsiella pneumoniae	strong	1	5362708	5362708	5362708	no	-	ST493	1	0	0	0	ybt 2; ICEKp1	321	-	0	-	0	iro 3 (truncated)	21	rmp 3; ICEKp1	145	-	wzi2	KL2	K2	none	Very high	99.72%		O1/O2v1	O1	none	Very high	99.81%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1*	-	-	-	-	-	fosA7*?-0%	ST493	2	1	70	1	12	1	127	8	55	50	6	5	117	125	6	7	7	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	38-4%	10	5	20	1	1	-	ATCC43816
ERR1023711	Klebsiella pneumoniae	strong	198	375964	915096	6076980	yes (967)	ambiguous_bases	ST231	1	2	11	18	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aadA*;ant(2'')-Ia;rmtB;strA.v1^;strB.v1	-	-	-	-	ermB.v1*	cmlA5;floR.v2*	arr-2	sul2	tet(A).v2;tet(G).v1	-	dfrA23	OXA-10;TEM-1D.v1^	-	CTX-M-15;VEB-1	-	OXA-48	SHV-1^	-	-	-	GyrA-83I;GyrA-87Y;ParC-80I	-	floR.v2*?;sul1?-63%	ST231	2	6	1	3	26	1	77	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ERR1023711
ERR1023848	Klebsiella pneumoniae	strong	193	346900	1141558	5514473	yes (575)	ambiguous_bases	ST281	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi329	KL64	K64	none	Very high	99.89%		O1/O2v1	O1	none	Very high	98.62%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-108	35Q	-	-	-	-	-	ST281	7	1	5	46	1	1	84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ERR1023848
INF049	Klebsiella pneumoniae	strong	9	5225165	5225165	5633847	no	-	ST20	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi33	KL64	K64	none	Very high	99.85%		O1/O2v1	O1	-	High	99.42%	O1/O2v1_06_wbbO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-187	-	-	-	-	-	-	ST20	2	3	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	INF049
INF281	Klebsiella pneumoniae	strong	8	5509891	5509891	6109952	no	-	ST231	1	2	11	19	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aadA*;ant(2'')-Ia;rmtB;strA.v1^;strB.v1	-	-	-	-	ermB.v1*	cmlA5;floR.v2*	arr-2	sul2	tet(A).v2;tet(G).v1	-	dfrA23	OXA-10;TEM-1D.v1^	-	CTX-M-15;CTX-M-15;VEB-1	-	OXA-48	SHV-1^	-	-	-	GyrA-83I;GyrA-87Y;ParC-80I	-	floR.v2*?;sul1?-63%	ST231	2	6	1	3	26	1	77	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	INF281
INF298	Klebsiella pneumoniae	strong	8	5509884	5509884	6109940	no	-	ST231	1	2	11	19	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	-*	High	99.98%	KL64_10_wzy,KL64_11_wcoU,KL64_12_wcoT	O1/O2v1	O1	none	Very high	98.64%		aadA*;ant(2'')-Ia;rmtB;strA.v1^;strB.v1	-	-	-	-	ermB.v1*	cmlA5;floR.v2*	arr-2	sul2	tet(A).v2;tet(G).v1	-	dfrA23	OXA-10;TEM-1D.v1^	-	CTX-M-15;CTX-M-15;VEB-1	-	OXA-48	SHV-1^	-	-	-	GyrA-83I;GyrA-87Y;ParC-80I	-	floR.v2*?;sul1?-63%	ST231	2	6	1	3	26	1	77	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	INF298
INF299	Klebsiella pneumoniae	strong	8	5511045	5511045	6111102	no	-	ST231	1	2	11	19	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aadA*;ant(2'')-Ia;rmtB;strA.v1^;strB.v1	-	-	-	-	ermB.v1*	cmlA5;floR.v2*	arr-2	sul2	tet(A).v2;tet(G).v1	-	dfrA23	OXA-10;TEM-1D.v1^	-	CTX-M-15;CTX-M-15;VEB-1	-	OXA-48	SHV-1^	-	-	-	GyrA-83I;GyrA-87Y;ParC-80I	-	floR.v2*?;sul1?-63%	ST231	2	6	1	3	26	1	77	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	INF299
INF305	Klebsiella pneumoniae	strong	8	5513883	5513883	6113759	no	-	ST231	1	2	11	19	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aadA*;ant(2'')-Ia;rmtB;strA.v1^;strB.v1	-	-	-	-	ermB.v1*	cmlA5;floR.v2*	arr-2	sul2	tet(A).v2;tet(G).v1	-	dfrA23	OXA-10;TEM-1D.v1^	-	CTX-M-15;CTX-M-15;VEB-1	-	OXA-48	SHV-1^	-	-	-	GyrA-83I;GyrA-87Y;ParC-80I	-	floR.v2*?;sul1?-63%	ST231	2	6	1	3	26	1	77	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	INF305
INF310	Klebsiella pneumoniae	strong	8	5511203	5511203	6111269	no	-	ST231	1	2	11	19	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aadA*;ant(2'')-Ia;rmtB;strA.v1^;strB.v1	-	-	-	-	ermB.v1*	cmlA5;floR.v2*	arr-2	sul2	tet(A).v2;tet(G).v1	-	dfrA23	OXA-10;TEM-1D.v1^	-	CTX-M-15;CTX-M-15;VEB-1	-	OXA-48	SHV-1^	-	-	-	GyrA-83I;GyrA-87Y;ParC-80I	-	floR.v2*?;sul1?-63%	ST231	2	6	1	3	26	1	77	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	INF310
INF357	Klebsiella pneumoniae	strong	8	5219342	5219342	5434792	no	-	ST30	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	*	Very high	99.80%		O1/O2v1	O1	none	Very high	98.65%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-71	146V	-	-	-	-	-	ST30	5	3	1	1	9	4	26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	INF357
